Date,Low,Open,Volume,Close,High
2009-05-06,1.00,1.00,0,1.05,1.05
2009-05-05,1.05,1.05,0,1.05,1.05
2009-05-04,1.08,1.08,0,1.10,1.10
2009-04-30,1.03,1.03,0,1.05,1.05
2009-04-29,1.05,1.05,0,1.05,1.05
2009-04-28,1.08,1.08,0,1.10,1.10
2009-04-27,1.08,1.08,0,1.10,1.10
2009-04-24,1.01,1.01,0,1.05,1.05
2009-04-23,0.99,0.99,0,1.00,1.00
2009-04-22,1.00,1.00,0,1.00,1.00
2009-04-21,1.00,1.00,0,1.00,1.00
2009-04-20,0.96,0.96,0,0.96,0.96
2009-04-17,0.99,0.99,0,1.00,1.00
2009-04-16,0.95,0.95,0,0.96,0.96
2009-04-15,0.93,0.93,0,0.92,0.92
2009-04-14,0.95,0.95,0,0.94,0.94
2009-04-09,1.90,1.90,0,1.00,1.00
2009-04-09,0.97,0.97,0,0.98,0.98
2009-04-08,0.98,0.98,0,1.00,1.00
2009-04-07,0.95,0.95,0,0.96,0.96
2009-04-06,0.89,0.89,0,0.92,0.92
2009-04-03,0.87,0.87,0,0.88,0.88
2009-04-02,0.87,0.87,0,0.87,0.87
2009-04-01,0.91,0.91,0,0.91,0.91
2009-03-31,0.95,0.95,0,0.95,0.95
2009-03-30,0.95,0.95,0,0.95,0.95
2009-03-27,0.99,0.99,0,0.99,0.99
2009-03-26,1.04,1.04,0,1.04,1.04
2009-03-24,1.09,1.09,0,1.09,1.09
2009-03-23,1.15,1.15,0,1.14,1.14
2009-03-20,1.11,1.11,0,1.20,1.20
2009-03-19,1.16,1.16,0,1.16,1.16
2009-03-18,1.21,1.21,0,1.22,1.22
2009-03-17,1.20,1.20,0,1.23,1.23
2009-03-16,1.22,1.22,0,1.23,1.23
2009-03-13,1.20,1.20,0,1.20,1.20
2009-03-12,1.24,1.24,0,1.25,1.25
2009-03-11,1.28,1.28,0,1.25,1.25
2009-03-10,1.16,1.16,0,1.23,1.23
2009-03-06,1.16,1.16,0,1.20,1.20
2009-03-05,1.17,1.17,0,1.15,1.15
2009-03-04,1.17,1.17,0,1.15,1.15
2009-03-03,1.21,1.21,0,1.21,1.21
2009-03-02,1.27,1.27,0,1.27,1.27
2009-02-27,1.37,1.37,0,1.33,1.33
2009-02-26,1.36,1.36,0,1.40,1.40
2009-02-25,1.42,1.42,0,1.42,1.42
2010-03-25,1.05,1.05,0,1.09,1.09
2010-03-26,1.09,1.09,0,1.04,1.04
2010-03-23,0.96,0.96,0,1.00,1.00
2009-02-24,1.48,1.48,0,1.49,1.49
2009-02-23,1.50,1.50,0,1.53,1.53
2009-02-20,1.54,1.54,0,1.54,1.54
2009-02-19,1.62,1.62,0,1.62,1.62
2009-02-18,1.65,1.65,0,1.61,1.61
2009-02-17,1.58,1.58,0,1.58,1.58
2009-02-16,1.51,1.51,0,1.51,1.51
2009-02-13,1.43,1.43,0,1.44,1.44
2009-02-12,1.37,1.37,0,1.38,1.38
2009-02-11,1.27,1.27,0,1.32,1.32
2009-02-10,1.26,1.26,0,1.26,1.26
2009-02-09,1.20,1.20,0,1.20,1.20
2009-02-06,1.15,1.15,0,1.15,1.15
2009-02-05,1.09,1.09,0,1.10,1.10
2009-02-04,1.07,1.07,0,1.11,1.11
2009-02-03,1.09,1.09,0,1.12,1.12
2009-02-02,1.12,1.12,0,1.07,1.07
2009-01-30,1.12,1.12,0,1.12,1.12
2009-01-29,1.17,1.17,0,1.17,1.17
2009-01-28,1.23,1.23,0,1.23,1.23
2009-01-27,1.23,1.23,0,1.23,1.23
2009-01-26,1.34,1.34,0,1.29,1.29
2009-01-23,1.35,1.35,0,1.35,1.35
2009-01-22,1.42,1.42,0,1.42,1.42
2009-01-21,1.49,1.49,0,1.49,1.49
2009-01-20,1.56,1.56,0,1.56,1.56
2009-01-19,1.66,1.66,0,1.64,1.64
2009-01-16,1.64,1.64,0,1.64,1.64
2009-01-15,1.64,1.64,0,1.64,1.64
2009-01-14,1.72,1.72,0,1.72,1.72
2009-01-13,1.81,1.81,0,1.81,1.81
2009-01-12,1.88,1.88,0,1.90,1.90
2009-01-09,1.90,1.90,0,1.90,1.90
