Date,Low,Open,Volume,Close,High
2010-03-25,9.12,9.12,0,9.22,9.22
2010-03-19,9.00,9.00,0,9.06,9.06
2010-03-18,9.39,9.39,0,9.00,9.00
2010-03-17,9.45,9.45,0,9.39,9.39
2010-03-16,9.54,9.54,0,9.45,9.45
2010-03-15,9.56,9.56,0,9.54,9.54
2010-03-12,9.72,9.72,0,9.56,9.56
2010-03-11,9.26,9.26,0,9.72,9.72
2010-03-10,9.37,9.37,0,9.26,9.26
2010-03-09,9.15,9.15,0,9.37,9.37
2010-03-08,9.05,9.05,0,9.15,9.15
2010-03-05,9.15,9.15,0,9.05,9.05
2010-03-04,9.05,9.05,0,9.15,9.15
2010-03-03,9.08,9.08,0,9.05,9.05
2010-03-02,9.20,9.20,0,9.15,9.15
2010-03-01,9.20,9.20,0,9.15,9.15
2010-02-25,9.22,9.22,0,9.20,9.20
2010-02-24,9.40,9.40,0,9.22,9.22
2010-02-23,9.30,9.30,0,9.40,9.40
2010-02-22,9.30,9.30,0,9.30,9.30
2010-02-19,9.35,9.35,0,9.30,9.30
2010-02-18,9.45,9.45,0,9.35,9.35
2010-02-17,9.65,9.65,0,9.45,9.45
2010-02-16,9.26,9.26,0,9.65,9.65
2010-02-15,9.26,9.26,0,9.26,9.26
2010-02-12,9.50,9.50,0,9.26,9.26
2010-02-11,9.50,9.50,0,9.50,9.50
2010-02-11,9.50,9.50,0,9.50,9.50
2010-02-10,9.50,9.50,0,9.50,9.50
2010-02-09,9.50,9.50,0,9.50,9.50
2010-02-08,9.52,9.52,0,9.50,9.50
2010-02-05,9.45,9.45,0,9.52,9.52
2010-02-04,9.00,9.00,0,9.45,9.45
2010-02-03,8.80,8.80,0,9.00,9.00
2010-02-02,8.80,8.80,0,8.80,8.80
2010-02-01,8.85,8.85,0,8.80,8.80
2010-01-29,8.80,8.80,0,8.85,8.85
2010-01-28,8.80,8.80,0,8.80,8.80
2010-01-27,8.78,8.78,0,8.80,8.80
2010-01-26,8.80,8.80,0,8.78,8.78
2010-01-25,8.80,8.80,0,8.80,8.80
2010-01-22,8.43,8.43,0,8.80,8.80
2010-01-21,8.55,8.55,0,8.43,8.43
2010-01-20,8.31,8.31,0,8.55,8.55
2010-01-19,7.92,7.92,0,8.31,8.31
2010-01-18,7.55,7.55,0,7.92,7.92
2010-01-15,7.50,7.50,0,7.55,7.55
2010-01-14,7.50,7.50,0,7.50,7.50
2010-01-13,7.50,7.50,0,7.50,7.50
