Date,Low,Open,Volume,Close,High
2010-03-24,8.66,8.66,0,8.88,8.88
2010-03-25,8.88,8.88,0,9.00,9.00
2010-03-23,8.92,8.92,0,8.66,8.66
2010-04-30,8.50,8.15,436981,8.50,8.50
2010-05-10,8.30,8.25,1876260,8.66,8.66
2010-05-04,8.50,8.50,655083,8.55,8.55
2010-05-05,8.40,8.55,1201080,8.40,8.40
2010-05-07,8.25,8.40,480145,8.25,8.40
2010-05-11,8.50,8.66,3584635,8.70,8.95
2010-11-29,5.30,5.30,37570,5.30,5.30
2010-11-23,5.08,5.08,76760,5.08,5.08
2010-11-24,5.08,5.08,43224,5.08,5.08
2010-11-25,5.26,5.08,224579,5.30,5.30
2010-11-26,5.30,5.30,53785,5.30,5.30
2010-04-06,9.00,9.00,0,8.60,8.60
2010-04-07,8.60,8.60,0,9.00,9.00
2010-04-08,9.00,9.00,0,8.55,8.55
2010-04-09,8.55,8.55,0,8.55,8.55
2010-05-12,8.55,8.70,2995900,8.55,8.70
2010-05-14,8.80,8.85,342096,8.80,8.88
2010-05-13,8.85,8.55,334715,8.85,8.85
2010-05-17,8.50,8.80,565104,8.60,8.60
2010-05-18,8.50,8.60,589690,8.55,8.80
2010-05-19,8.50,8.55,1372489,8.50,8.60
2010-06-03,8.19,8.19,37450,8.19,8.19
2010-05-25,8.15,8.50,236863,8.35,8.35
2010-05-24,8.50,8.50,154924,8.50,8.50
2010-05-20,8.50,8.50,771409,8.50,8.50
2010-06-30,8.05,8.45,284312,8.05,8.05
2010-07-01,7.65,7.65,91621,7.65,7.65
2010-07-02,7.65,7.65,52500,7.65,7.65
2010-07-05,7.31,7.65,238460,7.31,7.50
2010-07-06,7.31,7.31,157180,7.31,7.31
2010-09-24,5.18,5.20,213493,5.18,5.18
2010-09-27,5.18,5.18,85000,5.18,5.18
2010-09-23,5.20,5.25,666625,5.20,5.20
2010-09-23,5.20,5.25,666625,5.20,5.20
2010-09-30,4.93,4.93,19800,4.93,4.93
2010-07-15,6.32,6.32,164650,6.32,6.32
2010-07-16,6.35,6.32,459169,6.35,6.35
2010-07-19,6.45,6.35,132081,6.45,6.45
2010-07-20,6.45,6.45,578502,6.45,6.45
2010-07-26,6.60,6.60,73923,6.60,6.60
2010-07-21,6.50,6.45,367633,6.50,6.50
2010-10-19,5.27,5.15,598516,5.27,5.30
2010-10-20,5.30,5.27,613373,5.38,5.38
2010-10-22,5.30,5.30,128180,5.30,5.30
2010-10-25,5.30,5.30,104290,5.30,5.30
2010-10-27,5.30,5.30,94761,5.30,5.30
2010-10-28,5.10,5.30,575053,5.10,5.30
2010-10-26,5.30,5.30,72048,5.30,5.30
2010-10-29,5.10,5.10,130832,5.10,5.10
2010-11-01,5.10,5.10,24640,5.10,5.10
2010-11-02,5.15,5.10,91633,5.15,5.15
