Date,Low,Open,Volume,Close,High
03-24-2010,60.00,60.00,0,59.90,59.90
03-25-2010,59.90,59.90,0,61.00,61.00
03-23-2010,58.28,58.28,0,60.00,60.00
04-30-2010,69.99,69.99,1410908,70.14,70.14
05-04-2010,70.00,70.14,1550064,70.77,70.77
05-05-2010,71.00,70.77,1055959,71.20,71.20
05-10-2010,70.06,73.00,2084278,72.51,72.51
05-07-2010,71.12,71.20,12663970,73.00,73.00
11-29-2010,76.06,75.42,2286683,76.20,76.20
11-23-2010,76.88,76.35,1852497,76.91,76.99
11-24-2010,75.00,76.91,1301351,75.00,76.00
11-25-2010,75.00,75.00,2238913,75.00,76.01
11-26-2010,75.40,75.00,1113405,75.42,75.42
04-06-2010,62.95,62.95,0,66.09,66.09
04-07-2010,66.09,66.09,0,69.39,69.39
04-08-2010,69.39,69.39,0,69.30,69.30
04-09-2010,69.30,69.30,0,70.00,70.00
05-11-2010,72.50,72.51,1158080,72.50,72.55
05-12-2010,72.01,72.50,2170835,72.18,72.54
05-13-2010,72.00,72.18,1604480,72.00,72.18
05-14-2010,70.00,72.00,22080047,71.50,72.01
05-17-2010,70.21,71.50,1123335,70.21,71.50
05-18-2010,71.50,70.21,4633558,71.50,71.50
05-19-2010,70.56,71.50,1598706,72.00,72.00
06-03-2010,60.61,63.80,3259252,60.61,62.51
05-25-2010,69.00,69.98,19268502,69.00,69.26
05-24-2010,69.95,70.01,2472669,69.98,70.15
05-20-2010,71.99,71.99,1092214,71.99,71.99
06-30-2010,62.15,62.15,1486267,64.00,64.99
07-01-2010,62.00,63.00,2254643,63.00,63.00
07-02-2010,63.01,63.00,1165894,63.05,63.05
07-05-2010,62.86,63.05,1622264,62.86,63.05
07-06-2010,62.00,62.86,1418248,62.05,62.10
09-23-2010,68.60,68.60,683140,68.60,68.60
09-24-2010,69.20,68.60,1054585,69.20,69.20
09-27-2010,69.52,69.20,586194,69.52,69.52
09-23-2010,68.60,68.60,683140,68.60,68.60
09-23-2010,68.60,68.60,683140,68.60,68.60
09-30-2010,71.03,71.03,1742237,74.58,74.58
07-15-2010,64.00,63.90,1193408,64.80,64.80
07-16-2010,64.85,64.80,2001198,65.46,66.90
07-19-2010,65.52,65.46,1265240,65.90,65.90
07-20-2010,67.00,65.90,770462,67.00,67.00
07-26-2010,66.27,66.00,523898,66.27,66.27
07-21-2010,66.00,67.00,911009,67.00,67.00
10-19-2010,76.41,76.20,1997248,76.41,76.50
10-20-2010,76.41,76.41,723287,76.41,76.41
10-22-2010,75.50,75.51,863132,77.99,77.99
10-25-2010,76.30,77.99,614960,76.30,76.30
10-27-2010,75.75,76.50,12001613,76.00,76.50
10-28-2010,76.20,76.00,851023,76.51,76.55
10-26-2010,75.08,76.30,1143278,76.50,76.50
10-29-2010,76.00,76.51,1901991,76.08,76.08
11-01-2010,76.00,76.08,11819542,76.00,76.04
11-02-2010,76.03,76.00,755464,76.03,76.03
11-03-2010,76.03,76.03,499063,76.03,76.03
12-08-2010,77.01,77.01,1024026,77.01,77.01
12-09-2010,77.00,77.01,2481570,77.00,77.00
12-10-2010,77.00,77.00,282990,77.00,77.00
12-13-2010,76.00,77.00,723097,76.00,76.00
12-14-2010,76.00,76.00,700917,76.00,76.00
12-15-2010,76.00,76.00,749646,76.00,76.00
12-16-2010,75.16,76.00,1736521,75.16,75.16
12-17-2010,76.00,75.16,1833600,76.87,77.01
12-20-2010,76.87,76.87,391552,76.87,76.87
12-21-2010,76.87,76.87,361555,76.87,76.87
12-22-2010,76.50,76.87,886271,77.01,77.01
01-12-2011,82.94,79.00,1323081,82.94,82.94
01-13-2011,87.00,82.94,2244530,87.08,87.08
01-14-2011,91.42,87.08,1311704,91.43,91.43
01-17-2011,90.00,91.43,1388509,90.00,90.35
01-18-2011,86.90,90.00,1629531,87.00,87.00
02-03-2011,77.97,78.00,3007480,78.00,78.25
02-04-2011,77.99,78.00,1361227,78.00,78.00
02-07-2011,77.84,78.00,1095975,77.84,78.00
02-08-2011,77.10,77.84,455061,77.10,77.10
02-09-2011,76.12,77.10,797082,76.12,77.00
02-10-2011,76.12,76.12,621185,76.12,76.12
09-07-2010,69.15,69.75,660993,69.15,69.15
09-08-2010,69.15,69.15,672726,69.15,69.15
09-13-2010,68.96,69.15,1834057,68.96,69.00
09-14-2010,68.00,68.96,8268021,68.00,68.10
09-15-2010,68.00,68.00,1771774,69.00,69.00
03-29-2010,63.00,63.00,0,63.99,63.99
03-30-2010,63.99,63.99,0,63.40,63.40
03-31-2010,63.40,63.40,0,61.50,61.50
04-16-2010,69.99,69.08,1984435,70.81,70.81
04-19-2010,69.00,70.81,1539281,69.53,70.01
04-20-2010,68.50,69.53,3968776,68.70,69.08
04-21-2010,68.10,68.70,1436460,68.26,68.26
04-22-2010,68.31,68.26,863822,68.55,68.55
04-23-2010,68.46,68.55,1484114,68.99,68.99
04-26-2010,68.00,68.99,9724751,69.01,69.01
04-28-2010,67.01,68.23,1021294,67.05,67.05
04-27-2010,68.01,68.01,1458172,68.23,68.23
04-29-2010,67.00,67.05,2143256,69.99,70.00
06-21-2010,63.50,63.50,22480644,63.50,64.94
06-22-2010,63.20,63.50,1258489,63.50,63.50
10-04-2010,78.30,74.58,5785783,78.30,78.30
10-05-2010,82.00,78.30,2431869,82.21,82.21
10-06-2010,78.10,82.21,3571299,78.50,80.99
10-07-2010,74.60,78.50,1206714,74.60,76.00
10-08-2010,71.01,74.60,5087012,76.50,77.00
10-11-2010,77.99,76.50,2452964,78.08,78.30
