Date,Low,Open,Volume,Close,High
2010-03-24,270.00,270.00,0,270.00,270.00
2010-03-25,270.00,270.00,0,270.00,270.00
2010-03-23,270.00,270.00,0,270.00,270.00
2010-04-30,314.00,314.00,76177,314.00,314.00
2010-05-04,314.00,314.00,71221,314.00,314.00
2010-05-05,314.00,314.00,67988,314.00,314.00
2010-05-10,314.00,314.00,33889,314.00,314.00
2010-05-07,314.00,314.00,104206,314.00,314.00
2010-11-29,397.00,397.00,24990,397.00,397.00
2010-11-23,380.00,395.00,484959,380.00,380.00
2010-11-24,385.00,380.00,1010092,390.00,390.00
2010-11-25,390.00,390.00,20944,390.00,390.00
2010-11-26,397.00,390.00,533701,397.00,397.00
2010-04-06,270.00,270.00,0,283.50,283.50
2010-04-07,283.50,283.50,0,283.50,283.50
2010-04-08,283.50,283.50,0,283.50,283.50
2010-04-09,283.50,283.50,0,283.60,283.60
2010-05-11,314.00,314.00,71660,314.00,314.00
2010-05-12,314.00,314.00,58399,314.00,314.00
2010-05-13,314.00,314.00,18573,314.00,314.00
2010-05-14,314.00,314.00,40853,314.00,314.00
2010-05-17,314.00,314.00,96110,314.00,314.00
2010-05-18,325.00,314.00,112003,325.00,325.00
2010-05-19,341.00,325.00,119612,341.00,341.00
2010-05-25,358.05,358.05,73763,358.05,358.05
2010-05-24,358.05,358.05,214810,358.05,358.05
2010-05-20,341.00,341.00,141470,341.00,341.00
2010-06-30,360.00,360.00,13518,360.00,360.00
2010-07-01,355.00,360.00,131085,355.00,355.00
2010-07-02,355.00,355.00,76546,355.00,355.00
2010-07-05,355.00,355.00,102314,355.00,355.00
2010-07-06,355.00,355.00,54677,355.00,355.00
2010-09-23,342.00,342.00,138995,342.00,342.00
2010-09-24,359.10,342.00,394844,359.10,359.10
2010-09-27,359.10,359.10,54522,359.10,359.10
2010-09-23,342.00,342.00,138995,342.00,342.00
2010-09-23,342.00,342.00,138995,342.00,342.00
2010-09-30,359.10,359.10,62721,359.10,359.10
2010-07-15,355.00,355.00,51378,355.00,355.00
2010-07-16,356.00,355.00,179203,356.00,356.00
2010-07-19,356.00,356.00,16087,356.00,356.00
2010-07-20,356.00,356.00,87704,356.00,356.00
2010-10-19,388.00,394.90,1607645,388.00,390.00
2010-10-20,388.00,388.00,511249,388.00,388.00
2010-10-22,387.95,387.95,71319,387.95,387.95
2010-10-25,387.95,387.95,43787,387.95,387.95
2010-10-27,400.00,387.95,1268115,400.00,400.00
2010-10-28,400.00,400.00,151473,400.00,400.00
2010-10-26,387.95,387.95,178317,387.95,387.95
2010-10-29,400.00,400.00,156174,400.00,400.00
2010-11-01,400.00,400.00,12924,400.00,400.00
2010-11-02,400.00,400.00,333053,400.00,400.00
2010-11-03,400.00,400.00,44842,400.00,400.00
2010-12-08,392.80,397.00,369044,392.80,395.00
2010-12-09,385.00,392.80,1173157,385.00,385.00
2010-12-10,380.00,385.00,1008024,380.00,380.00
2010-12-13,375.02,380.00,476640,379.00,380.00
2010-12-14,370.16,379.00,566354,370.16,380.00
2010-12-15,370.16,370.16,37812,370.16,370.16
2010-12-16,370.16,370.16,24285,370.16,370.16
2010-12-17,370.16,370.16,61364,370.16,370.16
2010-12-20,370.16,370.16,48945,370.16,370.16
2010-12-21,370.16,370.16,76943,370.16,370.16
2011-01-12,385.00,385.00,198579,385.00,385.00
