Date,Low,Open,Volume,Close,High
2010-03-24,28.52,28.52,0,29.94,29.94
2010-03-25,29.94,29.94,0,31.43,31.43
2010-03-23,28.52,28.52,0,28.52,28.52
2010-04-30,30.01,29.38,769895,30.03,30.03
2010-05-04,30.66,30.03,211091,30.66,30.66
2010-05-05,30.80,30.66,441269,30.80,31.00
2010-05-07,29.26,30.80,4971946,29.50,30.00
2010-05-10,29.50,29.50,226034,29.50,29.50
2010-11-23,33.00,32.84,413904,33.01,33.01
2010-11-24,33.00,33.01,820453,33.00,33.00
2010-11-25,33.00,33.00,111749,33.00,33.00
2010-11-26,33.00,33.00,382224,33.00,33.00
2010-11-29,33.00,33.00,198897,33.00,33.00
2010-04-06,30.42,30.42,0,30.00,30.00
2010-04-07,30.00,30.00,0,30.00,30.00
2010-04-08,30.00,30.00,0,30.00,30.00
2010-05-11,29.00,29.50,514011,30.96,30.96
2010-05-12,30.20,30.96,590221,30.20,30.50
2010-05-13,30.20,30.20,134072,30.20,30.20
2010-05-14,30.37,30.20,750992,30.37,30.99
2010-05-17,30.00,30.37,3538511,30.20,31.20
2010-05-18,29.55,30.20,2377800,29.55,30.10
2010-05-19,29.55,29.55,365622,29.56,29.56
2010-05-25,29.10,29.10,223080,29.10,29.10
2010-05-24,29.10,29.10,166626,29.10,29.10
2010-05-20,29.00,30.10,3126032,29.00,30.10
2010-06-30,30.00,30.00,473096,30.00,30.00
2010-07-01,30.00,30.00,482482,30.00,30.00
2010-07-02,30.00,30.00,114546,30.00,30.00
2010-07-05,30.00,30.00,406983,30.00,30.00
2010-07-06,30.00,30.00,445076,30.00,30.00
2010-09-22,29.06,30.00,339404,30.00,30.00
2010-09-23,30.01,30.00,403573,30.01,30.04
2010-09-24,30.01,30.01,162429,30.01,30.01
2010-09-27,30.01,30.01,85764,30.01,30.01
2010-09-23,30.01,30.00,403573,30.01,30.04
2010-09-23,30.01,30.00,403573,30.01,30.04
2010-07-14,30.01,30.01,165717,30.01,30.01
2010-07-15,31.00,30.01,581935,31.00,31.00
2010-07-16,30.50,31.00,1054104,30.50,30.50
2010-07-19,30.52,30.50,402012,30.52,30.60
2010-07-20,31.70,30.52,1025727,32.04,32.04
2010-10-19,33.00,34.07,1857697,33.00,34.00
2010-10-20,33.00,33.00,1181785,33.00,33.00
2010-10-21,33.00,33.00,562727,33.00,33.00
2010-10-22,33.00,33.00,69962,33.00,33.00
2010-10-25,33.00,33.00,127668,33.00,33.00
2010-10-26,33.00,33.00,931452,33.00,33.00
2010-10-27,32.90,33.00,758267,33.00,33.00
2010-10-28,32.11,33.00,486031,33.00,33.01
2010-10-29,34.00,33.00,842003,34.00,34.64
2010-11-01,33.20,34.00,258166,33.20,33.20
2010-11-02,33.00,33.20,353163,33.00,33.00
2010-11-03,33.00,33.00,504146,33.01,33.02
2010-12-08,32.01,32.01,168237,32.01,32.01
2010-12-09,32.01,32.01,98817,32.01,32.01
2010-12-10,32.01,32.01,159221,32.01,32.01
2010-12-13,32.01,32.01,98035,32.01,32.01
2010-12-14,32.03,32.01,171878,32.03,32.05
2010-12-15,32.03,32.03,171658,32.03,32.03
2010-12-16,31.85,32.03,297969,32.10,32.10
2010-12-17,32.50,32.10,725098,32.59,32.59
2010-12-20,32.59,32.59,198853,32.59,32.59
2010-12-21,31.45,32.59,439283,31.45,31.50
2011-01-12,33.00,33.00,77172,33.00,33.00
2011-01-13,33.00,33.00,252726,33.00,33.00
2011-01-14,33.00,33.00,57763,33.00,33.00
2011-01-17,33.00,33.00,86779,33.00,33.00
2011-02-03,33.12,33.00,275257,33.12,33.12
2011-02-04,33.00,33.12,1151620,33.00,33.14
2011-02-07,33.00,33.00,858367,33.00,33.01
2011-02-08,33.00,33.00,618820,33.01,33.01
2011-02-09,33.00,33.01,1908818,33.01,33.19
2011-02-10,33.01,33.01,117179,33.01,33.01
2010-09-03,32.50,32.50,208634,32.50,32.50
2010-09-06,32.50,32.50,253400,32.50,32.50
2010-09-07,32.50,32.50,163326,32.50,32.50
2010-09-08,32.50,32.50,135952,32.50,32.50
2010-09-13,32.50,32.50,79504,32.50,32.50
2010-09-14,30.88,32.50,709032,30.88,30.88
2010-03-26,31.43,31.43,0,31.43,31.43
2010-03-29,31.43,31.43,0,31.43,31.43
2010-03-30,31.43,31.43,0,33.00,33.00
2010-03-31,33.00,33.00,0,31.35,31.35
2010-04-16,31.94,31.94,155367,31.94,31.94
2010-04-19,31.94,31.94,191056,31.94,31.94
2010-04-20,31.94,31.94,137160,31.94,31.94
2010-04-21,31.94,31.94,261718,31.94,31.94
2010-04-22,31.94,31.94,193790,31.94,31.94
2010-04-23,31.94,31.94,591611,31.94,31.94
2010-04-26,30.35,31.94,466928,30.50,30.50
2010-04-28,28.50,30.00,384515,28.50,28.50
2010-04-27,28.98,30.00,3376476,30.00,30.00
2010-04-29,29.38,28.50,295666,29.38,29.38
2010-06-21,31.49,31.49,148619,31.49,31.49
2010-06-22,31.49,31.49,204282,31.49,31.49
2010-09-30,30.99,30.99,87234,30.99,30.99
2010-10-04,31.00,30.99,1668457,31.75,32.53
2010-10-05,31.32,31.75,674682,31.97,31.98
2010-10-06,31.21,31.97,459034,31.21,31.21
2010-10-07,30.90,31.21,118959,30.90,30.90
2010-10-08,30.90,30.90,102419,30.90,30.90
2010-11-04,33.00,33.01,173334,33.00,33.00
2010-11-05,33.00,33.00,101124,33.00,33.00
2010-11-08,32.50,33.00,571175,32.50,33.00
2010-11-09,33.00,32.50,286748,33.00,33.00
2010-11-10,33.00,33.00,84163,33.00,33.00
2010-06-09,32.00,32.00,651041,32.00,32.00
2010-06-11,31.00,32.00,323265,31.00,31.00
2010-06-14,30.00,31.00,413054,30.00,30.05
2010-06-15,30.00,30.00,137495,30.00,30.00
2010-06-16,30.00,30.00,300567,30.10,30.10
2010-12-22,31.45,31.45,61934,31.45,31.45
2010-12-23,31.45,31.45,119418,31.45,31.45
2010-12-24,31.45,31.45,31951,31.45,31.45
2010-12-29,31.45,31.45,104256,31.45,31.45
2010-12-30,31.45,31.45,76551,31.45,31.45
2010-07-21,32.04,32.04,630030,32.04,32.04
2010-07-22,30.91,32.04,3055409,33.64,33.64
2010-07-23,32.50,33.64,1699959,32.50,34.20
2010-07-26,32.00,32.50,705569,32.00,32.70
2010-07-27,32.00,32.00,449866,32.45,32.45
2010-07-28,33.00,32.45,2161928,34.07,34.07
2010-08-13,37.00,37.00,814187,37.00,37.32
2010-08-16,37.00,37.00,390863,37.00,37.00
2010-08-17,37.00,37.00,404198,37.00,37.00
2010-08-18,37.52,37.00,1173950,37.52,37.52
2010-08-19,37.52,37.52,1565938,38.50,38.50
2010-08-20,37.85,38.50,2531372,39.00,39.00
2010-06-01,31.44,31.74,1356589,31.89,31.89
2010-06-02,30.30,31.89,1937637,31.74,31.74
2010-06-04,30.80,31.74,1718506,32.56,32.56
2010-06-07,32.10,32.56,261340,32.10,32.10
2010-06-08,31.00,32.10,6602991,32.00,32.60
2010-06-10,32.00,32.00,151557,32.00,32.00
2010-11-11,33.00,33.00,127008,33.00,33.00
2010-11-12,32.00,33.00,655975,33.00,33.00
2010-11-15,33.00,33.00,149324,33.00,33.00
2010-11-18,32.84,33.00,381943,32.84,33.00
2010-11-19,32.84,32.84,83654,32.84,32.84
2010-11-22,32.84,32.84,80097,32.84,32.84
2010-04-09,30.00,30.00,0,31.38,31.38
2010-04-12,31.38,31.38,2359930,32.90,32.90
2010-04-13,31.26,32.90,1307477,31.26,32.91
2010-04-14,30.99,31.26,368929,30.99,30.99
2010-04-15,30.16,30.99,1178076,31.94,31.94
2010-08-23,38.14,38.14,218632,38.14,38.14
2010-08-24,36.50,38.14,77353,36.50,36.50
2010-08-25,34.68,36.50,2771549,36.00,38.32
2010-08-26,35.00,36.00,527161,35.00,35.00
2010-12-31,31.50,31.45,131818,31.50,31.50
2011-01-04,32.01,31.50,287128,32.01,32.90
2011-01-05,32.99,32.01,401499,33.00,33.00
2011-01-06,33.00,33.00,194634,33.00,33.00
2011-01-07,33.00,33.00,53903,33.00,33.00
2011-01-10,33.00,33.00,124780,33.00,33.00
2011-01-11,33.00,33.00,47995,33.00,33.00
2010-05-21,29.10,29.80,426064,29.10,30.00
2010-05-26,29.00,29.10,323269,29.00,29.00
2010-05-27,30.40,29.00,2694828,30.45,30.45
2010-05-28,30.05,30.45,1023671,31.74,31.88
2010-06-03,30.45,31.74,872170,31.74,31.74
2010-06-17,30.10,30.10,624107,30.10,30.10
2010-06-18,28.90,30.10,3365961,31.49,31.49
2010-07-07,30.00,30.00,833537,30.00,30.00
2010-07-09,30.00,30.40,498303,30.00,30.00
2010-07-08,30.40,30.00,236957,30.40,30.40
2010-07-12,30.00,30.00,112555,30.00,30.00
2010-07-13,30.01,30.00,194230,30.01,30.01
2010-08-27,35.00,35.00,104541,35.00,35.00
2010-08-30,33.33,35.00,562325,33.33,33.36
2010-08-31,33.33,33.33,280460,33.33,33.33
2010-09-01,32.00,33.33,906688,32.00,33.00
2010-09-02,32.50,32.00,572413,32.50,32.50
2011-01-18,33.00,33.00,227856,33.00,33.00
2011-01-19,33.00,33.00,84980,33.00,33.00
2011-01-20,33.00,33.00,100226,33.00,33.00
2011-01-21,33.00,33.00,117597,33.00,33.00
2011-01-24,33.00,33.00,245695,33.00,33.00
2011-01-25,33.00,33.00,159487,33.00,33.00
2010-07-29,34.00,34.07,1711114,34.00,34.50
2010-07-30,32.30,34.00,2369198,34.00,34.00
2010-08-02,34.00,34.00,1401761,35.70,35.70
2010-08-03,34.05,35.70,1041548,34.10,34.60
2010-08-04,35.00,34.10,528624,35.40,35.40
2010-08-09,37.00,35.91,561412,37.00,37.00
2010-10-11,32.00,30.90,119475,32.00,32.00
2010-10-12,32.00,32.00,309280,32.00,32.00
2010-10-13,32.00,32.00,210560,32.00,32.00
2010-10-14,32.61,32.00,1080221,33.02,33.02
2010-10-15,31.37,33.02,6764911,34.67,34.67
2010-10-18,34.07,34.67,731898,34.07,34.99
2010-08-05,34.20,34.10,99680,34.20,34.20
2010-08-06,34.60,34.20,905856,35.91,35.91
2010-08-10,37.39,37.00,825639,37.44,37.50
2010-08-11,37.06,37.44,681525,37.10,37.10
2010-08-12,37.00,37.10,612394,37.00,37.00
2010-06-23,30.00,31.49,406256,30.00,30.00
2010-06-24,30.00,30.00,272945,30.00,30.00
2010-06-25,30.00,30.00,148516,30.00,30.00
2010-06-28,30.00,30.00,292147,30.00,30.00
2010-06-29,30.00,30.00,473096,30.00,30.00
2011-01-26,33.00,33.00,651966,33.00,33.00
2011-01-27,32.90,33.00,2288252,33.50,33.50
2011-01-28,33.00,33.50,1116864,33.00,33.00
2011-02-02,33.00,33.00,147836,33.00,33.00
2011-01-31,33.00,33.00,599067,33.00,33.00
2011-02-01,33.00,33.00,288546,33.00,33.00
2010-11-30,32.02,33.00,251650,32.02,32.02
2010-12-01,32.02,32.02,67856,32.02,32.02
2010-12-02,32.00,32.02,549397,32.00,32.60
2010-12-03,32.00,32.00,225884,32.00,32.00
2010-12-06,32.01,32.00,425744,32.01,32.01
2010-12-07,32.01,32.01,172194,32.01,32.01
2004-02-27,16.50,16.50,0,17.53,17.53
2004-02-26,16.81,16.81,0,16.70,16.70
2004-02-25,15.67,15.67,0,16.90,16.90
2004-02-24,16.30,16.30,0,16.30,16.30
2004-02-23,17.15,17.15,0,17.15,17.15
2004-02-20,18.05,18.05,0,18.05,18.05
2004-02-19,19.00,19.00,0,19.00,19.00
2004-02-18,19.96,19.96,0,20.00,20.00
2004-02-17,18.97,18.97,0,19.05,19.05
2004-02-16,18.10,18.10,0,18.16,18.16
2004-02-13,17.37,17.37,0,17.32,17.32
2004-02-12,17.24,17.24,0,17.20,17.20
2004-02-11,16.63,16.63,0,16.80,16.80
2004-02-10,16.59,16.59,0,16.75,16.75
2004-02-09,16.23,16.23,0,16.20,16.20
2004-02-06,16.12,16.12,0,16.38,16.38
2004-01-30,15.55,15.55,0,15.60,15.60
2004-01-29,14.54,14.54,0,14.86,14.86
2004-01-28,14.16,14.16,0,14.16,14.16
2004-01-27,15.83,15.83,0,14.90,14.90
2004-01-26,15.68,15.68,0,15.68,15.68
2004-01-23,14.94,14.94,0,14.94,14.94
2004-01-22,14.51,14.51,0,14.23,14.23
2004-01-21,13.56,13.56,0,13.56,13.56
2004-01-20,12.92,12.92,0,12.92,12.92
2004-01-19,12.07,12.07,0,12.31,12.31
2004-01-16,11.73,11.73,0,11.73,11.73
2004-01-15,11.18,11.18,0,11.18,11.18
2004-01-14,10.65,10.65,0,10.65,10.65
2004-01-13,10.15,10.15,0,10.15,10.15
2004-01-09,9.27,9.27,0,9.23,9.23
2004-01-08,9.16,9.16,0,9.25,9.25
2004-01-07,9.13,9.13,0,9.20,9.20
2004-01-06,9.25,9.25,0,9.25,9.25
2004-01-05,9.30,9.30,0,9.32,9.32
2004-01-02,9.25,9.25,0,9.30,9.30
2003-12-31,9.15,9.15,0,9.13,9.13
2003-12-30,9.16,9.16,0,9.12,9.12
2003-12-29,9.09,9.09,0,9.00,9.00
2003-12-24,9.07,9.07,0,9.12,9.12
2003-12-23,8.84,8.84,0,8.75,8.75
2003-12-22,8.61,8.61,0,8.82,8.82
2003-12-19,8.39,8.39,0,8.40,8.40
2003-12-18,8.29,8.29,0,8.00,8.00
2003-12-17,8.59,8.59,0,8.25,8.25
2003-12-16,8.71,8.71,0,8.57,8.57
2003-12-15,8.71,8.71,0,8.56,8.56
2003-12-12,8.86,8.86,0,9.00,9.00
2003-12-11,8.68,8.68,0,8.78,8.78
2003-12-10,8.68,8.68,0,8.66,8.66
2003-12-09,8.83,8.83,0,8.65,8.65
2003-12-08,8.45,8.45,0,8.61,8.61
2003-12-05,8.15,8.15,0,8.20,8.20
2003-12-04,8.19,8.19,0,8.20,8.20
2003-12-03,8.26,8.26,0,8.10,8.10
2003-12-02,8.54,8.54,0,8.49,8.49
2003-12-01,8.95,8.95,0,8.93,8.93
2003-11-28,9.14,9.14,0,9.40,9.40
2003-11-27,9.10,9.10,0,9.07,9.07
2003-11-26,9.10,9.10,0,9.10,9.10
2003-11-21,9.12,9.12,0,9.20,9.20
2003-11-20,9.05,9.05,0,9.05,9.05
2003-11-19,9.15,9.15,0,9.01,9.01
2003-11-18,9.16,9.16,0,9.20,9.20
2003-11-17,9.06,9.06,0,8.97,8.97
2003-11-14,9.02,9.02,0,9.30,9.30
2003-11-13,8.72,8.72,0,8.80,8.80
2003-11-12,8.78,8.78,0,8.50,8.50
2003-11-11,8.95,8.95,0,9.00,9.00
2003-11-10,9.07,9.07,0,9.09,9.09
2003-11-07,8.94,8.94,0,9.09,9.09
2003-11-06,8.65,8.65,0,8.71,8.71
2003-11-05,8.24,8.24,0,8.30,8.30
2003-11-04,8.03,8.03,0,8.10,8.10
2003-11-03,8.45,8.45,0,8.25,8.25
2003-10-31,8.32,8.32,0,8.59,8.59
2003-10-30,8.32,8.32,0,8.20,8.20
