Date,Low,Open,Volume,Close,High
2010-03-24,32.00,32.00,0,33.60,33.60
2010-03-25,33.60,33.60,0,34.00,34.00
2010-03-19,33.10,33.10,0,33.18,33.18
2010-03-18,33.77,33.77,0,33.10,33.10
2010-03-17,34.00,34.00,0,33.77,33.77
2010-03-16,34.00,34.00,0,34.00,34.00
2010-03-15,34.00,34.00,0,34.00,34.00
2010-03-12,33.50,33.50,0,34.00,34.00
2010-03-11,34.50,34.50,0,33.50,33.50
2010-03-10,33.25,33.25,0,34.50,34.50
2010-03-09,35.00,35.00,0,33.25,33.25
2010-03-08,35.00,35.00,0,35.00,35.00
2010-03-05,35.00,35.00,0,35.00,35.00
2010-03-04,35.00,35.00,0,35.00,35.00
2010-03-03,35.00,35.00,0,35.00,35.00
2010-03-02,35.20,35.20,0,35.00,35.00
2010-03-01,35.20,35.20,0,35.00,35.00
2010-02-25,35.00,35.00,0,35.20,35.20
2010-02-24,35.70,35.70,0,35.00,35.00
2010-02-23,35.70,35.70,0,35.70,35.70
2010-02-22,35.50,35.50,0,35.70,35.70
2010-02-19,34.99,34.99,0,35.50,35.50
2010-02-18,34.18,34.18,0,34.99,34.99
2010-02-17,34.20,34.20,0,34.18,34.18
2010-02-16,35.00,35.00,0,34.20,34.20
2010-02-15,34.50,34.50,0,35.00,35.00
2010-02-12,35.00,35.00,0,34.50,34.50
2010-02-11,34.50,34.50,0,35.00,35.00
2010-02-11,34.50,34.50,0,35.00,35.00
2010-02-10,34.05,34.05,0,34.50,34.50
2010-02-09,34.00,34.00,0,34.05,34.05
2010-02-08,34.28,34.28,0,34.00,34.00
2010-02-05,36.08,36.08,0,34.28,34.28
2010-02-04,35.03,35.03,0,36.08,36.08
2010-02-03,35.00,35.00,0,35.03,35.03
2010-02-02,34.90,34.90,0,35.00,35.00
2010-02-01,34.00,34.00,0,34.90,34.90
2010-01-29,33.70,33.70,0,34.00,34.00
2010-01-28,32.15,32.15,0,33.70,33.70
2010-01-27,31.06,31.06,0,32.15,32.15
2010-01-26,30.11,30.11,0,31.06,31.06
2010-01-25,30.00,30.00,0,30.11,30.11
2010-01-22,30.00,30.00,0,30.00,30.00
2010-01-21,30.00,30.00,0,30.00,30.00
2010-01-20,30.00,30.00,0,30.00,30.00
2010-01-19,30.00,30.00,0,30.00,30.00
2010-01-18,30.00,30.00,0,30.00,30.00
2010-01-15,30.26,30.26,0,30.00,30.00
2010-01-14,30.26,30.26,0,30.26,30.26
2010-01-13,30.00,30.00,0,30.26,30.26
2010-01-12,29.55,29.55,0,30.00,30.00
2010-01-11,30.00,30.00,0,29.55,29.55
2010-01-08,30.00,30.00,0,30.00,30.00
2010-01-07,30.00,30.00,0,30.00,30.00
2010-01-06,30.00,30.00,0,30.00,30.00
2010-01-05,30.00,30.00,0,30.00,30.00
2010-01-04,30.00,30.00,0,30.00,30.00
2009-12-31,29.00,29.00,0,30.00,30.00
2009-12-30,29.75,29.75,0,29.00,29.00
2009-12-28,27.55,27.55,0,28.80,28.80
2009-12-23,27.55,27.55,0,28.80,28.80
2009-12-22,29.00,29.00,0,27.55,27.55
2009-12-21,29.00,29.00,0,29.00,29.00
2009-12-18,28.00,28.00,0,29.00,29.00
2009-12-17,29.00,29.00,0,28.00,28.00
2009-12-16,28.54,28.54,0,29.00,29.00
2009-12-15,28.54,28.54,0,28.54,28.54
2009-12-14,29.00,29.00,0,28.54,28.54
2009-12-14,28.54,28.54,0,28.54,28.54
2009-12-11,29.00,29.00,0,29.00,29.00
2009-12-10,29.50,29.50,0,29.00,29.00
2009-12-09,29.50,29.50,0,29.50,29.50
2009-12-08,29.50,29.50,0,29.50,29.50
2009-12-07,29.00,29.00,0,29.50,29.50
2009-12-04,28.60,28.60,0,29.00,29.00
2009-12-03,29.47,29.47,0,28.60,28.60
2009-12-02,31.00,31.00,0,29.47,29.47
2009-12-01,31.90,31.90,0,31.00,31.00
2009-11-30,30.97,30.97,0,31.90,31.90
2009-11-25,29.50,29.50,0,30.97,30.97
2009-11-24,29.50,29.50,0,29.50,29.50
2009-11-23,29.00,29.00,0,29.50,29.50
2009-11-20,29.00,29.00,0,29.00,29.00
2009-11-19,29.01,29.01,0,29.00,29.00
2009-11-18,28.71,28.71,0,29.01,29.01
2009-11-17,28.80,28.80,0,28.71,28.71
2009-11-16,28.55,28.55,0,28.80,28.80
2009-11-13,28.20,28.20,0,28.55,28.55
2009-11-12,29.00,29.00,0,28.20,28.20
2009-11-11,28.95,28.95,0,29.00,29.00
2009-11-10,28.95,28.95,0,28.95,28.95
2009-11-09,29.00,29.00,0,28.95,28.95
2009-11-06,29.00,29.00,0,29.00,29.00
2009-11-05,30.00,30.00,0,29.00,29.00
2009-11-04,29.45,29.45,0,30.00,30.00
2009-11-03,31.00,31.00,0,29.45,29.45
2009-11-02,31.00,31.00,0,31.00,31.00
2009-10-30,31.00,31.00,0,31.00,31.00
2009-10-29,30.00,30.00,0,31.00,31.00
2009-10-28,30.01,30.01,0,30.00,30.00
2009-10-27,31.00,31.00,0,30.01,30.01
2009-10-26,31.90,31.90,0,31.03,31.03
2009-10-23,31.00,31.00,0,32.55,32.55
2009-10-22,31.97,31.97,0,31.00,31.00
2009-10-21,31.49,31.49,0,31.97,31.97
2009-10-20,31.49,31.49,0,31.49,31.49
2009-10-19,30.00,30.00,0,31.49,31.49
2009-10-16,30.00,30.00,0,30.00,30.00
2009-10-15,30.06,30.06,0,30.00,30.00
2009-10-14,31.05,31.05,0,30.06,30.06
2009-10-13,31.00,31.00,0,31.05,31.05
2009-10-12,30.05,30.05,0,31.00,31.00
2009-10-09,31.00,31.00,0,30.05,30.05
2009-10-08,32.11,32.11,0,31.00,31.00
2009-10-07,33.80,33.80,0,32.11,32.11
2009-10-06,34.00,34.00,0,33.80,33.80
2009-10-05,34.00,34.00,0,34.00,34.00
2009-10-02,32.50,32.50,0,34.00,34.00
2009-09-30,31.00,31.00,0,32.50,32.50
2009-09-29,31.00,31.00,0,31.00,31.00
2009-09-28,31.03,31.03,0,31.00,31.00
2009-09-25,31.90,31.90,0,31.03,31.03
2009-09-24,32.55,32.55,0,31.90,31.90
2009-09-23,31.00,31.00,0,32.55,32.55
2009-09-18,31.11,31.11,0,31.00,31.00
2009-09-17,31.39,31.39,0,31.11,31.11
2009-09-16,31.00,31.00,0,31.39,31.39
2009-09-15,31.00,31.00,0,31.00,31.00
2009-09-14,31.00,31.00,0,31.00,31.00
2009-09-11,31.00,31.00,0,31.00,31.00
2009-09-10,31.00,31.00,0,31.00,31.00
2009-09-09,30.99,30.99,0,31.00,31.00
2009-09-08,30.00,30.00,0,30.99,30.99
2009-09-07,31.00,31.00,0,30.00,30.00
2009-09-04,31.00,31.00,0,31.00,31.00
2009-09-03,30.00,30.00,0,31.00,31.00
2009-09-02,31.00,31.00,0,30.00,30.00
2009-09-01,31.50,31.50,0,31.00,31.00
2009-08-31,31.00,31.00,0,31.50,31.50
2009-08-28,32.52,32.52,0,31.00,31.00
2009-08-27,34.12,34.12,0,32.52,32.52
2009-08-26,32.50,32.50,0,34.12,34.12
2009-08-25,31.00,31.00,0,32.50,32.50
2009-08-24,30.00,30.00,0,31.00,31.00
2009-08-21,30.01,30.01,0,30.00,30.00
2009-08-20,30.60,30.60,0,30.01,30.01
2009-08-19,31.01,31.01,0,30.60,30.60
2009-08-18,31.99,31.99,0,31.01,31.01
2009-08-14,32.90,32.90,0,32.00,32.00
2009-08-13,32.00,32.00,0,32.90,32.90
2009-08-12,32.00,32.00,0,32.00,32.00
2009-08-11,33.63,33.63,0,32.00,32.00
2009-08-10,35.40,35.40,0,33.63,33.63
2009-06-25,23.75,23.75,0,24.49,24.49
2009-06-17,26.13,26.13,0,25.70,25.70
2009-06-16,26.25,26.25,0,26.13,26.13
2009-06-15,26.17,26.17,0,26.50,26.50
2009-06-12,25.41,25.41,0,25.51,25.51
2009-06-11,25.71,25.71,0,25.22,25.22
2009-06-10,25.67,25.67,0,26.37,26.37
2009-06-09,25.89,25.89,0,25.21,25.21
2009-06-08,26.28,26.28,0,26.53,26.53
2009-06-05,26.60,26.60,0,25.27,25.27
2009-06-05,25.58,25.58,0,25.27,25.27
2009-06-04,26.69,26.69,0,26.60,26.60
2009-06-03,27.79,27.79,0,28.00,28.00
2009-06-01,25.51,25.51,0,25.51,25.51
2009-05-28,24.30,24.30,0,24.30,24.30
2009-05-27,23.15,23.15,0,23.15,23.15
2009-05-26,22.04,22.04,0,22.05,22.05
2009-05-25,20.84,20.84,0,21.00,21.00
2009-05-22,20.89,20.89,0,20.00,20.00
2009-05-21,20.82,20.82,0,20.66,20.66
2009-05-20,19.84,19.84,0,19.84,19.84
2009-05-19,19.68,19.68,0,18.90,18.90
2009-05-18,18.81,18.81,0,18.81,18.81
2009-05-15,19.79,19.79,0,19.79,19.79
2009-05-14,20.83,20.83,0,20.83,20.83
2009-05-13,21.43,21.43,0,21.43,21.43
2009-05-12,20.41,20.41,0,20.41,20.41
2009-05-11,19.40,19.40,0,19.44,19.44
2009-05-08,18.29,18.29,0,18.52,18.52
2009-05-07,17.64,17.64,0,17.64,17.64
2009-05-06,16.84,16.84,0,16.80,16.80
2009-05-05,16.84,16.84,0,16.70,16.70
2009-05-04,17.20,17.20,0,17.00,17.00
2009-04-30,17.33,17.33,0,17.55,17.55
2009-04-29,16.88,16.88,0,16.78,16.78
2009-04-28,16.98,16.98,0,17.00,17.00
2009-04-27,16.97,16.97,0,17.00,17.00
2009-04-24,17.66,17.66,0,17.60,17.60
2009-04-23,17.77,17.77,0,17.60,17.60
2009-04-22,17.56,17.56,0,17.50,17.50
2009-04-21,17.40,17.40,0,17.70,17.70
2009-04-20,17.74,17.74,0,17.12,17.12
2009-04-17,17.43,17.43,0,17.80,17.80
2009-04-16,17.25,17.25,0,17.10,17.10
2009-04-15,17.23,17.23,0,16.95,16.95
2009-04-14,17.17,17.17,0,16.80,16.80
2009-04-09,16.92,16.92,0,17.20,17.20
2009-04-09,25.00,25.00,0,17.00,17.00
2009-04-08,17.28,17.28,0,17.00,17.00
2009-04-07,17.09,17.09,0,17.35,17.35
2009-04-06,16.25,16.25,0,17.11,17.11
2009-04-03,15.57,15.57,0,16.30,16.30
2009-04-02,15.29,15.29,0,15.58,15.58
2009-04-01,15.76,15.76,0,15.45,15.45
2009-03-31,14.97,14.97,0,15.22,15.22
2009-03-30,14.75,14.75,0,14.50,14.50
2009-03-27,14.28,14.28,0,14.85,14.85
2009-03-26,14.39,14.39,0,14.95,14.95
2009-03-24,14.46,14.46,0,14.51,14.51
2009-03-23,14.45,14.45,0,14.50,14.50
2009-03-20,14.32,14.32,0,14.36,14.36
2009-03-19,14.19,14.19,0,13.68,13.68
2009-03-18,14.24,14.24,0,13.80,13.80
2009-03-17,14.69,14.69,0,14.44,14.44
2009-03-16,15.35,15.35,0,15.20,15.20
2009-03-13,16.17,16.17,0,16.00,16.00
2009-03-12,16.14,16.14,0,16.00,16.00
2009-03-11,16.82,16.82,0,16.72,16.72
2009-03-10,17.29,17.29,0,17.60,17.60
2009-03-06,17.53,17.53,0,17.61,17.61
2009-03-05,16.95,16.95,0,17.07,17.07
2009-03-04,15.18,15.18,0,16.26,16.26
2009-03-03,15.54,15.54,0,15.49,15.49
2009-03-02,16.02,16.02,0,15.96,15.96
2009-02-27,16.64,16.64,0,16.76,16.76
