Date,Low,Open,Volume,Close,High
2010-03-25,133.00,133.00,0,133.00,133.00
2010-03-23,130.00,130.00,0,133.00,133.00
2010-04-30,148.00,152.10,817338,152.08,152.08
2010-05-10,160.10,158.99,484678,161.01,161.01
2010-05-04,152.08,152.08,506892,152.08,152.08
2010-05-05,152.08,152.08,129628,152.08,152.08
2010-05-07,153.00,152.08,768915,158.99,158.99
2010-05-11,161.01,161.01,404629,161.01,161.01
2010-11-29,170.50,170.50,35447,170.50,170.50
2010-11-23,177.00,182.00,239737,177.00,177.00
2010-11-24,177.00,177.00,132253,177.00,177.00
2010-11-25,170.50,177.00,608812,170.50,170.50
2010-11-26,170.50,170.50,53407,170.50,170.50
2010-04-06,140.12,140.12,0,140.12,140.12
2010-04-07,140.12,140.12,0,140.12,140.12
2010-04-08,140.12,140.12,0,140.12,140.12
2010-04-09,140.12,140.12,0,140.12,140.12
2010-05-12,161.01,161.01,325808,161.01,161.01
2010-05-14,161.01,161.01,130485,161.01,161.01
2010-05-13,161.01,161.01,113941,161.01,161.01
2010-05-17,160.00,161.01,343579,160.00,160.00
2010-05-18,160.00,160.00,208925,160.00,160.00
2010-05-19,156.01,160.00,353336,156.01,156.01
2010-06-03,153.00,153.00,74819,153.00,153.00
2010-05-25,156.20,157.30,269610,156.20,156.20
2010-05-24,157.30,157.30,203956,157.30,157.30
2010-05-20,156.00,156.00,257255,156.00,156.00
2010-06-30,158.51,158.51,218762,158.51,158.51
2010-07-01,158.51,158.51,263057,158.51,158.51
2010-07-02,158.51,158.51,822916,158.51,158.51
2010-07-05,158.51,158.51,90807,158.51,158.51
2010-07-06,158.51,158.51,110563,158.51,158.51
2010-09-24,171.00,171.00,74247,171.00,171.00
2010-09-27,170.00,171.00,585389,170.00,171.10
2010-09-23,171.00,171.00,319111,171.00,171.00
2010-09-23,171.00,171.00,319111,171.00,171.00
2010-09-30,170.00,170.00,129964,170.00,170.00
2010-07-15,162.00,163.54,181528,162.00,162.00
2010-07-16,162.00,162.00,171430,162.00,162.00
2010-07-19,162.00,162.00,47388,162.00,162.00
2010-07-20,162.00,162.00,123147,162.00,162.00
2010-07-26,162.00,162.00,50666,162.00,162.00
2010-07-21,162.00,162.00,267183,162.00,162.00
2010-10-19,180.00,180.21,7064878,180.00,180.00
2010-10-20,180.00,180.00,140602,180.00,180.00
2010-10-22,180.00,180.00,207738,180.00,180.00
2010-10-25,180.00,180.00,89450,180.00,180.00
2010-10-27,176.55,180.00,206317,180.00,180.00
2010-10-28,180.00,180.00,1012518,180.00,180.00
2010-10-26,180.00,180.00,1355765,180.00,180.00
2010-10-29,180.00,180.00,5414995,180.00,180.00
2010-11-01,180.00,180.00,57133,180.00,180.00
2010-11-02,180.00,180.00,148366,180.00,180.00
2010-11-03,180.00,180.00,198052,180.00,180.00
2010-12-08,180.00,177.00,817224,180.25,180.25
2010-12-09,180.25,180.25,136707,180.25,180.25
2010-12-10,180.25,180.25,77986,180.25,180.25
2010-12-13,180.25,180.25,115862,180.25,180.25
2010-12-16,180.25,180.25,79585,180.25,180.25
2010-12-14,180.25,180.25,157120,180.25,180.25
2010-12-15,180.25,180.25,56706,180.25,180.25
2010-12-17,180.25,180.25,73010,180.25,180.25
2010-12-20,180.25,180.25,444084,180.25,180.25
2010-12-21,180.25,180.25,156342,180.25,180.25
2010-12-22,189.00,180.25,514278,189.00,189.00
2011-01-12,200.08,200.08,50929,200.08,200.08
2011-01-13,200.08,200.08,44048,200.08,200.08
2011-01-14,200.08,200.08,93168,200.08,200.08
2011-01-17,200.08,200.08,128270,200.08,200.08
2011-01-19,220.58,210.08,396920,220.58,220.58
2011-01-18,210.08,200.08,266165,210.08,210.08
2011-02-03,202.75,202.75,184249,202.75,202.75
2011-02-04,202.75,202.75,61155,202.75,202.75
2011-02-07,202.75,202.75,101036,202.75,202.75
2011-02-08,202.75,202.75,425434,202.75,202.75
2011-02-09,202.75,202.75,867804,202.75,202.75
2011-02-10,202.75,202.75,148948,202.75,202.75
2010-09-07,164.00,164.00,100928,164.00,164.00
2010-09-08,164.00,164.00,259888,164.00,164.00
2010-09-13,164.00,164.00,689380,164.00,171.00
2010-09-14,164.00,164.00,107570,164.00,164.00
2010-09-15,168.52,164.00,1703845,171.00,171.00
2010-03-29,133.00,133.00,0,133.00,133.00
2010-03-30,133.00,133.00,0,139.65,139.65
2010-03-31,139.65,139.65,0,140.12,140.12
2010-04-19,152.00,154.99,391771,162.73,162.73
2010-04-21,159.00,162.00,1734263,165.00,165.00
2010-04-20,161.50,162.73,825951,162.00,162.00
2010-04-22,169.20,165.00,2006385,173.25,173.25
2010-04-23,165.11,173.25,713805,165.11,180.00
2010-04-26,160.10,165.11,2999367,160.10,165.90
2010-04-28,160.10,160.10,65266,160.10,160.10
2010-04-27,160.10,160.10,274146,160.10,160.10
2010-04-29,152.10,160.10,464383,152.10,152.10
2010-06-21,158.51,159.60,316001,158.51,158.99
2010-06-22,158.51,158.51,60160,158.51,158.51
2010-10-04,173.00,170.00,322033,173.00,173.00
2010-10-05,173.00,173.00,153504,173.00,173.00
2010-10-06,181.65,173.00,658626,181.65,181.65
2010-10-08,182.07,173.40,459259,182.07,182.07
2010-10-11,182.07,182.07,401289,182.07,182.07
2010-11-04,180.01,180.00,216086,180.01,180.01
2010-11-05,180.01,180.01,70877,180.01,180.01
2010-11-08,180.01,180.01,38816,180.01,180.01
2010-11-09,180.01,180.01,93647,180.01,180.01
2010-11-10,180.01,180.01,31566,180.01,180.01
2010-06-09,153.00,153.00,74006,153.00,153.00
2010-06-10,155.00,153.00,380908,155.00,155.00
2010-06-11,155.00,155.00,126619,155.00,155.00
2010-06-14,155.00,155.00,87091,155.00,155.00
2010-06-16,152.00,155.00,163713,152.00,152.00
2010-06-15,155.00,155.00,36490,155.00,155.00
2010-12-23,189.00,189.00,500766,189.00,189.00
2010-12-24,190.56,189.00,87277,190.56,190.56
2010-12-30,190.56,190.56,213375,190.56,190.56
2010-12-29,190.56,190.56,15968,190.56,190.56
2011-01-04,190.56,190.56,104895,190.56,190.56
2010-12-31,190.56,190.56,11147,190.56,190.56
2010-07-22,162.00,162.00,111686,162.00,162.00
2010-07-23,162.00,162.00,293535,162.00,162.00
2010-07-27,162.00,162.00,243856,162.00,162.00
2010-07-28,161.73,162.00,574786,162.00,162.00
2010-07-29,162.90,162.00,1913806,168.96,168.96
2010-08-16,164.00,164.00,363372,164.00,164.00
2010-08-17,165.00,164.00,295135,165.00,165.00
2010-08-18,165.00,165.00,130347,165.00,165.00
2010-08-19,165.00,165.00,306182,165.00,165.00
2010-08-20,165.00,165.00,124007,165.00,165.00
2010-06-02,153.00,153.00,158744,153.00,153.00
2010-06-04,153.00,153.00,111029,153.00,153.00
2010-06-07,153.00,153.00,280200,153.00,153.00
2010-06-08,153.00,153.00,141903,153.00,153.00
2010-11-11,180.00,180.01,229019,180.00,180.00
2010-11-12,180.01,180.00,137209,180.01,180.01
2010-11-18,188.00,180.01,3162021,188.00,188.00
2010-11-15,180.01,180.01,117760,180.01,180.01
2010-11-19,187.00,188.00,2734154,188.80,188.80
2010-11-22,182.00,188.80,771816,182.00,182.00
2010-04-12,147.12,147.12,423873,147.12,147.12
2010-04-13,147.12,147.12,216262,147.12,147.12
2010-04-14,148.00,147.12,357743,148.00,148.00
2010-04-15,148.00,148.00,189460,148.00,148.00
2010-04-16,150.00,148.00,409997,154.99,154.99
2010-08-23,165.00,165.00,120267,165.00,165.00
2010-08-24,167.12,165.00,307596,167.12,167.12
2010-08-25,167.12,167.12,141569,167.12,167.12
2010-08-26,167.99,167.12,184657,167.99,167.99
2010-08-27,167.00,167.99,1652792,167.00,167.01
2011-01-06,190.56,190.56,216051,190.56,190.56
2011-01-05,190.56,190.56,74351,190.56,190.56
2011-01-07,200.08,190.56,285400,200.08,200.08
2011-01-10,200.08,200.08,256556,200.08,200.08
2011-01-11,200.08,200.08,278213,200.08,200.08
2010-05-21,157.30,157.30,133876,157.30,157.30
2010-05-26,156.20,156.20,165105,156.20,156.20
2010-05-27,152.73,156.20,516384,152.73,155.50
2010-05-28,153.00,152.73,457323,153.00,153.00
2010-06-01,153.00,153.00,50329,153.00,153.00
2010-06-17,152.00,152.00,113236,152.00,152.00
2010-06-18,159.60,152.00,299825,159.60,159.60
2010-07-07,160.02,158.51,198095,160.02,160.02
2010-07-09,166.00,160.02,506509,166.00,168.00
2010-07-08,160.02,160.02,93435,160.02,160.02
2010-07-12,166.00,166.00,288118,166.00,166.00
2010-07-13,166.00,166.00,169554,166.00,166.00
2010-07-14,162.00,166.00,2104683,163.54,165.00
2010-08-31,165.00,167.00,480892,165.00,165.00
2010-08-30,167.00,167.00,78520,167.00,167.00
2010-09-01,162.99,165.00,591515,162.99,163.00
2010-09-02,162.99,162.99,73433,162.99,162.99
2010-09-06,162.90,163.10,198398,164.00,164.00
2010-09-03,163.10,162.99,287511,163.10,163.20
2011-01-20,225.00,220.58,995605,225.24,225.24
2011-01-21,227.18,225.24,323548,227.18,227.18
2011-01-24,227.17,227.18,650897,227.17,227.18
2011-01-25,222.01,227.17,994735,230.00,230.00
2010-07-30,168.98,168.96,354390,169.00,169.00
2010-08-03,165.00,165.00,192638,165.00,165.00
2010-08-02,161.00,169.00,1107878,165.00,165.00
2010-08-09,166.50,164.94,378821,166.50,166.50
2010-08-04,165.00,165.00,38993,165.00,165.00
2010-10-12,182.70,182.07,420225,185.13,185.13
2010-10-13,185.13,185.13,263156,185.13,185.13
2010-10-14,185.13,185.13,322889,185.13,185.13
2010-10-15,185.13,185.13,92912,185.13,185.13
2010-10-18,180.00,185.13,5195866,180.21,180.21
2010-10-21,180.00,180.00,174213,180.00,180.00
2010-08-05,165.00,165.00,350000,165.00,165.00
2010-08-06,164.94,165.00,318709,164.94,164.94
2010-08-10,166.50,166.50,164658,166.50,166.50
2010-08-12,164.00,164.00,60394,164.00,164.00
2010-08-11,164.00,166.50,878473,164.00,165.00
2010-08-13,164.00,164.00,77766,164.00,164.00
2010-06-24,158.51,158.51,117874,158.51,158.51
2010-06-23,158.51,158.51,56367,158.51,158.51
2010-06-28,158.51,158.51,123353,158.51,158.51
2010-06-25,158.51,158.51,98414,158.51,158.51
2010-06-29,158.51,158.51,218762,158.51,158.51
2011-01-26,225.00,230.00,760643,225.00,225.00
2011-01-27,220.00,225.00,2210923,220.00,225.00
2011-02-02,202.75,203.35,1248463,202.75,202.75
2011-01-28,214.05,220.00,1959066,214.05,215.00
2011-01-31,203.35,214.05,385366,203.35,204.00
2011-02-01,203.35,203.35,95346,203.35,203.35
2010-11-30,177.00,170.50,357051,177.00,177.00
2010-12-01,177.00,177.00,46126,177.00,177.00
2010-12-03,177.00,177.00,77798,177.00,177.00
2010-12-02,177.00,177.00,252574,177.00,177.00
2010-12-06,177.00,177.00,621390,177.00,177.00
2010-12-07,177.00,177.00,260849,177.00,177.00
2010-03-19,130.00,130.00,0,130.00,130.00
2010-03-18,130.00,130.00,0,130.00,130.00
2010-03-17,130.00,130.00,0,130.00,130.00
2010-03-16,130.00,130.00,0,130.00,130.00
2010-03-15,130.00,130.00,0,130.00,130.00
2010-03-12,130.00,130.00,0,130.00,130.00
2010-03-11,130.00,130.00,0,130.00,130.00
2010-03-10,130.00,130.00,0,130.00,130.00
2010-03-09,129.00,129.00,0,130.00,130.00
2010-03-08,129.00,129.00,0,129.00,129.00
2010-03-05,129.00,129.00,0,129.00,129.00
2010-03-04,129.00,129.00,0,129.00,129.00
2010-03-03,129.00,129.00,0,129.00,129.00
2010-03-02,129.00,129.00,0,129.00,129.00
2010-03-01,129.00,129.00,0,129.00,129.00
2010-02-25,129.00,129.00,0,129.00,129.00
2010-02-24,129.00,129.00,0,129.00,129.00
2010-02-23,129.00,129.00,0,129.00,129.00
2010-02-22,129.00,129.00,0,129.00,129.00
2010-02-19,129.00,129.00,0,129.00,129.00
